step,rollout/ep_rew_mean,train/entropy_loss,entropy,algorithm,condition,safety,seed,experiment,run_id
54209,-96.2692592732068,-2.327229200169869,2.327229200169869,FP3O,Type-Conditioned,True,seed_1,FP3O_Coupled_Safety_True,39
56216,-94.54463079937985,-2.3165810377031906,2.3165810377031906,FP3O,Type-Conditioned,True,seed_1,FP3O_Coupled_Safety_True,39
58222,-85.49058130550718,-2.2994952800228026,2.2994952800228026,FP3O,Type-Conditioned,True,seed_1,FP3O_Coupled_Safety_True,39
60228,-83.82832039144395,-2.292208251978273,2.292208251978273,FP3O,Type-Conditioned,True,seed_1,FP3O_Coupled_Safety_True,39
62234,-71.32791269071508,-2.2825045393079075,2.2825045393079075,FP3O,Type-Conditioned,True,seed_1,FP3O_Coupled_Safety_True,39
64240,-70.78974425836465,-2.2682453553968163,2.2682453553968163,FP3O,Type-Conditioned,True,seed_1,FP3O_Coupled_Safety_True,39
66247,-68.01592433008517,-2.2484858229478215,2.2484858229478215,FP3O,Type-Conditioned,True,seed_1,FP3O_Coupled_Safety_True,39
68253,-60.96920248596649,-2.225339269124068,2.225339269124068,FP3O,Type-Conditioned,True,seed_1,FP3O_Coupled_Safety_True,39
70259,-62.94019305674561,-2.213426306135161,2.213426306135161,FP3O,Type-Conditioned,True,seed_1,FP3O_Coupled_Safety_True,39
72265,-58.726572858481774,-2.212389572320975,2.212389572320975,FP3O,Type-Conditioned,True,seed_1,FP3O_Coupled_Safety_True,39
74272,-51.366746421399704,-2.205641085678207,2.205641085678207,FP3O,Type-Conditioned,True,seed_1,FP3O_Coupled_Safety_True,39
76278,-55.444758845066474,-2.1886685687000806,2.1886685687000806,FP3O,Type-Conditioned,True,seed_1,FP3O_Coupled_Safety_True,39
78284,-52.40582275406233,-2.183426446991789,2.183426446991789,FP3O,Type-Conditioned,True,seed_1,FP3O_Coupled_Safety_True,39
80290,-49.64952977478736,-2.1794902277591097,2.1794902277591097,FP3O,Type-Conditioned,True,seed_1,FP3O_Coupled_Safety_True,39
82296,-45.85481573219829,-2.167484279556103,2.167484279556103,FP3O,Type-Conditioned,True,seed_1,FP3O_Coupled_Safety_True,39
84303,-48.517542817857866,-2.1629577028676437,2.1629577028676437,FP3O,Type-Conditioned,True,seed_1,FP3O_Coupled_Safety_True,39
86309,-50.44234269168119,-2.157846007214059,2.157846007214059,FP3O,Type-Conditioned,True,seed_1,FP3O_Coupled_Safety_True,39
88315,-47.09013962544575,-2.1468395014001604,2.1468395014001604,FP3O,Type-Conditioned,True,seed_1,FP3O_Coupled_Safety_True,39
90321,-45.02152947759353,-2.144471158517057,2.144471158517057,FP3O,Type-Conditioned,True,seed_1,FP3O_Coupled_Safety_True,39
92328,-43.51963616135369,-2.14245795295594,2.14245795295594,FP3O,Type-Conditioned,True,seed_1,FP3O_Coupled_Safety_True,39
94334,-42.21874339987354,-2.141559084347556,2.141559084347556,FP3O,Type-Conditioned,True,seed_1,FP3O_Coupled_Safety_True,39
96340,-42.745118694347376,-2.139004405174649,2.139004405174649,FP3O,Type-Conditioned,True,seed_1,FP3O_Coupled_Safety_True,39
98346,-41.75592258345253,-2.1297297931421055,2.1297297931421055,FP3O,Type-Conditioned,True,seed_1,FP3O_Coupled_Safety_True,39
100353,-41.154944767651344,-2.12516142865002,2.12516142865002,FP3O,Type-Conditioned,True,seed_1,FP3O_Coupled_Safety_True,39
2048,-237.8390205076508,-3.0216572914221937,3.0216572914221937,FP3O,Type-Conditioned,True,seed_2,FP3O_Coupled_Safety_True,39
4054,-220.81915359842046,-2.9759706658079916,2.9759706658079916,FP3O,Type-Conditioned,True,seed_2,FP3O_Coupled_Safety_True,39
6060,-221.908332651776,-2.9457762870307156,2.9457762870307156,FP3O,Type-Conditioned,True,seed_2,FP3O_Coupled_Safety_True,39
8066,-220.31616087939358,-2.8730323479138753,2.8730323479138753,FP3O,Type-Conditioned,True,seed_2,FP3O_Coupled_Safety_True,39
10072,-219.87841171732373,-2.8380469579767382,2.8380469579767382,FP3O,Type-Conditioned,True,seed_2,FP3O_Coupled_Safety_True,39
12079,-220.88528807554033,-2.815862048580315,2.815862048580315,FP3O,Type-Conditioned,True,seed_2,FP3O_Coupled_Safety_True,39
14085,-225.8822058120923,-2.7810972415767217,2.7810972415767217,FP3O,Type-Conditioned,True,seed_2,FP3O_Coupled_Safety_True,39
16091,-225.36363322339452,-2.7869263650462086,2.7869263650462086,FP3O,Type-Conditioned,True,seed_2,FP3O_Coupled_Safety_True,39
18097,-231.39825607022672,-2.7497844487916425,2.7497844487916425,FP3O,Type-Conditioned,True,seed_2,FP3O_Coupled_Safety_True,39
20104,-234.0289231269358,-2.728520376713078,2.728520376713078,FP3O,Type-Conditioned,True,seed_2,FP3O_Coupled_Safety_True,39
22110,-237.16032774393602,-2.715500866493593,2.715500866493593,FP3O,Type-Conditioned,True,seed_2,FP3O_Coupled_Safety_True,39
24116,-237.37936598211473,-2.7188238012175256,2.7188238012175256,FP3O,Type-Conditioned,True,seed_2,FP3O_Coupled_Safety_True,39
