step,rollout/ep_rew_mean,train/entropy_loss,rollout/ep_len_mean,algorithm,safety,seed,experiment
393216,-4.193742275238037,-2.743685007095337,3.5299999713897705,FP3O,True,seed_0,FP3O_Safety_True
397312,-3.641960859298706,-2.637286901473999,2.700000047683716,FP3O,True,seed_0,FP3O_Safety_True
401408,-1.7325124740600586,-2.648372173309326,1.8200000524520874,FP3O,True,seed_0,FP3O_Safety_True
405504,-1.7298321723937988,-2.668910264968872,1.9299999475479126,FP3O,True,seed_0,FP3O_Safety_True
409600,-1.7322986125946045,-2.748478889465332,1.9600000381469727,FP3O,True,seed_0,FP3O_Safety_True
413696,0.0,-2.703988552093506,1.0,FP3O,True,seed_0,FP3O_Safety_True
417792,-5.179868221282959,-2.6905932426452637,4.059999942779541,FP3O,True,seed_0,FP3O_Safety_True
421888,-2.8214774131774902,-2.7299296855926514,2.799999952316284,FP3O,True,seed_0,FP3O_Safety_True
425984,0.0,-2.7890868186950684,1.0,FP3O,True,seed_0,FP3O_Safety_True
430080,-1.660201907157898,-2.6994571685791016,2.190000057220459,FP3O,True,seed_0,FP3O_Safety_True
434176,-4.307891368865967,-2.689743995666504,3.549999952316284,FP3O,True,seed_0,FP3O_Safety_True
438272,-5.375776290893555,-2.7554733753204346,3.6500000953674316,FP3O,True,seed_0,FP3O_Safety_True
442368,-7.4146623611450195,-2.7191948890686035,5.050000190734863,FP3O,True,seed_0,FP3O_Safety_True
446464,-2.959782600402832,-2.6215832233428955,2.7100000381469727,FP3O,True,seed_0,FP3O_Safety_True
450560,-2.1869966983795166,-2.712185859680176,2.4100000858306885,FP3O,True,seed_0,FP3O_Safety_True
454656,-2.2770235538482666,-2.712048292160034,2.119999885559082,FP3O,True,seed_0,FP3O_Safety_True
458752,-3.096579074859619,-2.7043638229370117,2.569999933242798,FP3O,True,seed_0,FP3O_Safety_True
462848,-3.6268789768218994,-2.7389605045318604,2.8499999046325684,FP3O,True,seed_0,FP3O_Safety_True
466944,-1.8078323602676392,-2.788515090942383,2.049999952316284,FP3O,True,seed_0,FP3O_Safety_True
471040,-5.172386646270752,-2.7282962799072266,3.440000057220459,FP3O,True,seed_0,FP3O_Safety_True
475136,-7.150717735290527,-2.689572334289551,4.889999866485596,FP3O,True,seed_0,FP3O_Safety_True
479232,-5.197064399719238,-2.698065757751465,3.640000104904175,FP3O,True,seed_0,FP3O_Safety_True
483328,-2.8140487670898438,-2.7745678424835205,2.7699999809265137,FP3O,True,seed_0,FP3O_Safety_True
487424,-6.34605598449707,-2.751133918762207,4.519999980926514,FP3O,True,seed_0,FP3O_Safety_True
491520,-1.9227938652038574,-2.7084121704101562,2.2300000190734863,FP3O,True,seed_0,FP3O_Safety_True
495616,-3.5284149646759033,-2.7184855937957764,2.859999895095825,FP3O,True,seed_0,FP3O_Safety_True
499712,-1.804987907409668,-2.69620418548584,2.299999952316284,FP3O,True,seed_0,FP3O_Safety_True
503808,-3.7153186798095703,-2.703242063522339,3.0199999809265137,FP3O,True,seed_0,FP3O_Safety_True
507904,-1.1102489233016968,-2.750211715698242,1.649999976158142,FP3O,True,seed_0,FP3O_Safety_True
512000,-6.038564682006836,-2.6813225746154785,3.809999942779541,FP3O,True,seed_0,FP3O_Safety_True
516096,-2.867457389831543,-2.6637306213378906,2.5299999713897705,FP3O,True,seed_0,FP3O_Safety_True
520192,-1.7685476541519165,-2.6424126625061035,1.9299999475479126,FP3O,True,seed_0,FP3O_Safety_True
524288,0.0,-2.718874216079712,1.0,FP3O,True,seed_0,FP3O_Safety_True
528384,-4.874565601348877,-2.6523332595825195,3.4700000286102295,FP3O,True,seed_0,FP3O_Safety_True
532480,-1.5197468996047974,-2.6895322799682617,1.7799999713897705,FP3O,True,seed_0,FP3O_Safety_True
536576,-3.177400588989258,-2.585555076599121,3.009999990463257,FP3O,True,seed_0,FP3O_Safety_True
540672,-2.212752103805542,-2.6270296573638916,2.0799999237060547,FP3O,True,seed_0,FP3O_Safety_True
544768,-2.7020673751831055,-2.632659673690796,2.8299999237060547,FP3O,True,seed_0,FP3O_Safety_True
548864,-4.7026848793029785,-2.604665756225586,3.619999885559082,FP3O,True,seed_0,FP3O_Safety_True
552960,-8.050776481628418,-2.6511006355285645,4.949999809265137,FP3O,True,seed_0,FP3O_Safety_True
557056,-0.9142381548881531,-2.6233489513397217,1.4800000190734863,FP3O,True,seed_0,FP3O_Safety_True
561152,-4.09472131729126,-2.748114585876465,3.0399999618530273,FP3O,True,seed_0,FP3O_Safety_True
565248,-1.567781925201416,-2.7220733165740967,1.9299999475479126,FP3O,True,seed_0,FP3O_Safety_True
569344,-5.255011558532715,-2.7377982139587402,3.930000066757202,FP3O,True,seed_0,FP3O_Safety_True
573440,-2.3875372409820557,-2.7497267723083496,2.4100000858306885,FP3O,True,seed_0,FP3O_Safety_True
577536,-1.4412360191345215,-2.782926559448242,1.6100000143051147,FP3O,True,seed_0,FP3O_Safety_True
581632,-2.7328879833221436,-2.6705634593963623,2.4100000858306885,FP3O,True,seed_0,FP3O_Safety_True
585728,-7.261584281921387,-2.800658941268921,4.880000114440918,FP3O,True,seed_0,FP3O_Safety_True
589824,-8.509204864501953,-2.711864471435547,4.909999847412109,FP3O,True,seed_0,FP3O_Safety_True
593920,-4.106653213500977,-2.7123289108276367,3.1600000858306885,FP3O,True,seed_0,FP3O_Safety_True
598016,-3.990877151489258,-2.6325206756591797,3.049999952316284,FP3O,True,seed_0,FP3O_Safety_True
602112,-1.1674696207046509,-2.6440601348876953,1.600000023841858,FP3O,True,seed_0,FP3O_Safety_True
606208,-3.293977975845337,-2.675316333770752,2.700000047683716,FP3O,True,seed_0,FP3O_Safety_True
610304,-2.6370208263397217,-2.6912105083465576,2.380000114440918,FP3O,True,seed_0,FP3O_Safety_True
614400,-5.2765116691589355,-2.7342581748962402,3.75,FP3O,True,seed_0,FP3O_Safety_True
618496,-6.416963577270508,-2.6293022632598877,4.179999828338623,FP3O,True,seed_0,FP3O_Safety_True
622592,-3.8949315547943115,-2.7035582065582275,3.130000114440918,FP3O,True,seed_0,FP3O_Safety_True
626688,-6.100867748260498,-2.6841020584106445,4.019999980926514,FP3O,True,seed_0,FP3O_Safety_True
630784,-4.2246785163879395,-2.6692821979522705,3.2899999618530273,FP3O,True,seed_0,FP3O_Safety_True
634880,-3.4534430503845215,-2.662034273147583,2.9100000858306885,FP3O,True,seed_0,FP3O_Safety_True
638976,-3.065103530883789,-2.6666042804718018,2.680000066757202,FP3O,True,seed_0,FP3O_Safety_True
643072,-14.643714904785156,-2.685818672180176,8.59000015258789,FP3O,True,seed_0,FP3O_Safety_True
647168,-22.622392654418945,-2.6782989501953125,13.260000228881836,FP3O,True,seed_0,FP3O_Safety_True
651264,-21.905776977539062,-2.569309711456299,12.1899995803833,FP3O,True,seed_0,FP3O_Safety_True
655360,-17.558717727661133,-2.585531234741211,9.970000267028809,FP3O,True,seed_0,FP3O_Safety_True
659456,-10.722339630126953,-2.6085400581359863,6.679999828338623,FP3O,True,seed_0,FP3O_Safety_True
663552,-17.261280059814453,-2.6200497150421143,10.180000305175781,FP3O,True,seed_0,FP3O_Safety_True
667648,-10.018667221069336,-2.61159348487854,6.449999809265137,FP3O,True,seed_0,FP3O_Safety_True
671744,-17.02236557006836,-2.6502325534820557,9.770000457763672,FP3O,True,seed_0,FP3O_Safety_True
675840,-18.223115921020508,-2.655646324157715,9.739999771118164,FP3O,True,seed_0,FP3O_Safety_True
679936,-14.232076644897461,-2.6605513095855713,8.25,FP3O,True,seed_0,FP3O_Safety_True
684032,-20.500791549682617,-2.6834003925323486,11.619999885559082,FP3O,True,seed_0,FP3O_Safety_True
688128,-17.767030715942383,-2.6831398010253906,10.0,FP3O,True,seed_0,FP3O_Safety_True
692224,-21.798208236694336,-2.6216604709625244,12.640000343322754,FP3O,True,seed_0,FP3O_Safety_True
696320,-20.253110885620117,-2.610565662384033,12.039999961853027,FP3O,True,seed_0,FP3O_Safety_True
700416,-11.644397735595703,-2.6423840522766113,7.480000019073486,FP3O,True,seed_0,FP3O_Safety_True
704512,-8.048199653625488,-2.64801025390625,5.070000171661377,FP3O,True,seed_0,FP3O_Safety_True
708608,-15.687265396118164,-2.689788341522217,9.460000038146973,FP3O,True,seed_0,FP3O_Safety_True
712704,-21.625185012817383,-2.692885637283325,12.239999771118164,FP3O,True,seed_0,FP3O_Safety_True
716800,-21.94586753845215,-2.675915002822876,12.420000076293945,FP3O,True,seed_0,FP3O_Safety_True
720896,-24.650039672851562,-2.6821811199188232,13.960000038146973,FP3O,True,seed_0,FP3O_Safety_True
724992,-16.869304656982422,-2.647109031677246,9.479999542236328,FP3O,True,seed_0,FP3O_Safety_True
729088,-22.33810806274414,-2.6863348484039307,13.09000015258789,FP3O,True,seed_0,FP3O_Safety_True
733184,-25.384929656982422,-2.6438469886779785,14.84000015258789,FP3O,True,seed_0,FP3O_Safety_True
737280,-14.49958610534668,-2.71087908744812,8.5600004196167,FP3O,True,seed_0,FP3O_Safety_True
741376,-22.2051944732666,-2.6822941303253174,13.359999656677246,FP3O,True,seed_0,FP3O_Safety_True
745472,-13.980798721313477,-2.674713134765625,8.770000457763672,FP3O,True,seed_0,FP3O_Safety_True
749568,-23.18360137939453,-2.6606273651123047,13.520000457763672,FP3O,True,seed_0,FP3O_Safety_True
753664,-23.750694274902344,-2.681185245513916,13.65999984741211,FP3O,True,seed_0,FP3O_Safety_True
757760,-25.21438980102539,-2.636286735534668,14.680000305175781,FP3O,True,seed_0,FP3O_Safety_True
761856,-24.702455520629883,-2.6862566471099854,14.239999771118164,FP3O,True,seed_0,FP3O_Safety_True
765952,-27.642662048339844,-2.6940958499908447,15.140000343322754,FP3O,True,seed_0,FP3O_Safety_True
770048,-5.4483256340026855,-2.6761908531188965,4.03000020980835,FP3O,True,seed_0,FP3O_Safety_True
774144,-24.260251998901367,-2.681439161300659,14.699999809265137,FP3O,True,seed_0,FP3O_Safety_True
778240,-23.924131393432617,-2.691169261932373,14.399999618530273,FP3O,True,seed_0,FP3O_Safety_True
